"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract"
"Ekinci C.; Ersan O.","Ekinci, Cumhur (55831450300); Ersan, Oğuz (57189005583)","55831450300; 57189005583","High-frequency trading and market quality: The case of a “slightly exposed” market","2022","International Review of Financial Analysis","79","","102004","","","","5","10.1016/j.irfa.2021.102004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121871880&doi=10.1016%2fj.irfa.2021.102004&partnerID=40&md5=fcc584ab0a0b49f1e56bf79a4fd917a8","Impacts of high-frequency trading (HFT) on market quality and various actors have been broadly studied. However, what happens when HFT is not a prominent figure in a market remains relatively unexplored. The paper seeks to answer this question focusing on 30 blue chip stocks in an emerging market, Borsa Istanbul, through Dec 2015 to Mar 2017. Despite a low share in the overall activity, HFT has observable effects, i.e. liquidity provision by non-HFT traders significantly reduces with HFT. Moreover, HFT generates profits on both positive and negative return days. Yet, HFT activity does not have an impact on volatility. These findings raise concerns regarding HFT and show potential externalities are not specific to the markets with HFT dominance. © 2021"
"Huang K.; Sun J.; Zhang Z.; Ye Y.; Hou W.","Huang, Ke (57208801328); Sun, Jifeng (57226172461); Zhang, Zuominyang (57552549500); Ye, Ying (58101987500); Hou, Wenjian (55360693000)","57208801328; 57226172461; 57552549500; 58101987500; 55360693000","Dynamic network of commodity futures market and systemic risk contribution of key commodities","2022","Proceedings - 2022 IEEE International Conference on Big Data, Big Data 2022","","","","952","961","9","0","10.1109/BigData55660.2022.10020485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147899920&doi=10.1109%2fBigData55660.2022.10020485&partnerID=40&md5=b3be3b18833b5129d3897ef0d56a83a0","Based on the time-varying Copula model and Minimum Spanning Tree (MST), a dynamic network of China's commodity futures market is established by using the 5-minute intraday data of 47 major commodities in China's commodity futures market. The systematic risk contribution of commodity nodes, the time-varying characteristics of commodity clusters and commodity networks are identified. According to study, it is found that coking coal (JM) and glass (FG) play key roles in the network. The clustering characteristics of commodities are distinct, which matching with the traditional industry grouping. The coking coal belongs to energy commodities, and the black commodities downstream are the core commodity categories. Network topology has a significant impact on the systemic risk, and key commodities also have great contributions to the systemic risk of commodity futures market. After the regulation implemented in May 2021, which measures of the price inflation of commodity futures, the correlation of the structure in futures market has changed significantly. The results of this paper provide new insights in studying the impact of management regulation regarding market correlation structure, and risk management of commodity portfolio during commodity price boom. © 2022 IEEE."
"Boubaker S.; Liu Z.; Zhai L.","Boubaker, Sabri (53876961800); Liu, Zhenya (56101473400); Zhai, Ling (57200619652)","53876961800; 56101473400; 57200619652","Change-points and functional features of intraday volatility in China stock market","2022","Annals of Operations Research","","","","","","","0","10.1007/s10479-022-05014-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139629329&doi=10.1007%2fs10479-022-05014-6&partnerID=40&md5=a9e63bd5a05b4b372a0422b79f79373b","Realized volatility models are enhanced in this paper through the use of change-point detection and functional regression. We explore the time-varying intraday features of realized volatility in the morning and afternoon sessions in China’s stock market. The empirical results reveal significant structural discontinuities in the realized volatility generated from high-frequency data in China’s stock market: the coefficients of AR term and realized quarticity (RQ) term vary with time in the day and experience different patterns. From two perspectives—information digestion and investor behavior—we examine how coefficients of the AR term and RQ term change over trading time with different levels of volatility. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
"Aquilina M.; Budish E.; O'neill P.","Aquilina, Matteo (57192396082); Budish, Eric (6507357477); O'neill, Peter (56489775700)","57192396082; 6507357477; 56489775700","Quantifying the High-Frequency Trading ""Arms Race""","2022","Quarterly Journal of Economics","137","1","","493","564","71","34","10.1093/qje/qjab032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142680435&doi=10.1093%2fqje%2fqjab032&partnerID=40&md5=336799cbee0749bd6262b90c0893f2f8","We use stock exchange message data to quantify the negative aspect of high-frequency trading, known as ""latency arbitrage.""The key difference between message data and widely familiar limit order book data is that message data contain attempts to trade or cancel that fail. This allows the researcher to observe both winners and losers in a race, whereas in limit order book data you cannot see the losers, so you cannot directly see the races. We find that latency arbitrage races are very frequent (about one per minute per symbol for FTSE 100 stocks), extremely fast (the modal race lasts 5-10 millionths of a second), and account for a remarkably large portion of overall trading volume (about 20%). Race participation is concentrated, with the top six firms accounting for over 80% of all race wins and losses. The average race is worth just a small amount (about half a price tick), but because of the large volumes the stakes add up. Our main estimates suggest that races constitute roughly one-third of price impact and the effective spread (key microstructure measures of the cost of liquidity), that latency arbitrage imposes a roughly 0.5 basis point tax on trading, that market designs that eliminate latency arbitrage would reduce the market's cost of liquidity by 17%, and that the total sums at stake are on the order of $5 billion per year in global equity markets alone.  © 2021 The Author(s). Published by Oxford University Press on behalf of President and Fellows of Harvard College."
"Wengjing; Huzhengfa","Wengjing (57872565800); Huzhengfa (57872876900)","57872565800; 57872876900","A new hybrid model for short-term volatility forecasting","2022","Proceedings - 2022 International Conference on Computer Engineering and Artificial Intelligence, ICCEAI 2022","","","","21","25","4","0","10.1109/ICCEAI55464.2022.00014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137170801&doi=10.1109%2fICCEAI55464.2022.00014&partnerID=40&md5=ea1e1bdd175f798841996e135738b0f6","At a time when high-frequency financial data have become increasingly available, short-term volatility forecasting is one of the core issues of financial research. It is an important basis for the pricing, asset allocation, risk management and trading strategy of financial derivatives. The generalized autoregressive conditional heteroskedasticity (GARCH) model is a common instrument to modeling volatility of high-frequency financial time series, which is based on the aggregation characteristics of volatility. At the same time, Support vector regression (SVR) aims to fit a line/curve to data by minimizing a cost function, which is widely used in financial data analysis and prediction, and has good performance. In this paper, a hybrid model of GARCH model and SVR is proposed, in which particle swarm optimization (PSO) algorithm is used to optimize hyperparameters of the support vector regression in the scope of constraint permission. In addition, we also introduce Fourier kernel GARCH-PSO-SVR, and use the Shanghai Composite Index data to evaluate the performance of various GARCH-PSO-SVR models in terms of mean absolute error (MAE) and mean square error (MSE). The experimental results show that the proposed approach outperforms the other competing peer models. © 2022 IEEE."
"Fernandes M.A.; Monteiro P.P.; Guiomar F.P.","Fernandes, Marco A. (57214777055); Monteiro, Paulo P. (7101681923); Guiomar, Fernando P. (43761909200)","57214777055; 7101681923; 43761909200","Free-space terabit optical interconnects","2022","Journal of Lightwave Technology","40","5","","1519","1526","7","23","10.1109/JLT.2021.3133070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121380565&doi=10.1109%2fJLT.2021.3133070&partnerID=40&md5=7753211c281e4f7dc40cf7008289d84a","The continuous growth of Internet data traffic is progressively increasing the pressure over wireless access technologies. To overcome the imminent bandwidth bottleneck, free-space optics (FSO) is currently deemed as a key breakthrough towards next-generation ultra-high-capacity wireless links. As this technology matures, it is starting to find its place not only in future mobile access networks, but also in applications such as datacenter interconnections, satellite communications and high-frequency trading. To meet the ever-increasing demand for high-capacity links, future-proof FSO systems should seek maximum compatibility with state-of-The-Art optical fiber systems, which nowadays can already provide data rates per channel in the Terabit/s range. However, the ultra-wideband potential of FSO systems comes at the expense of very tight requirements in terms of optical beam alignment, so that reliable end-To-end communications can be ensured. Following this research challenge, in this work we demonstrate a dynamic single-wavelength 1 Tbps FSO link with high pointing error tolerance, boosted by adaptive probabilistic constellation shaping (PCS) and an active gimbal-based acquisition, tracking and pointing (ATP) mechanism. Our results demonstrate successful indoor FSO transmission over 3 m with enhanced resilience towards pointing errors, enabling to adapt the data rate in the range of 0.8-1 Tbps.  © 1983-2012 IEEE."
"Ferrouhi E.M.; Bouabdallaoui I.","Ferrouhi, El Mehdi (56486020500); Bouabdallaoui, Ibrahim (57452601900)","56486020500; 57452601900","High-Frequency Trading and Market Efficiency in the Moroccan Stock Market","2022","Big Data in Finance: Opportunities and Challenges of Financial Digitalization","","","","55","67","12","1","10.1007/978-3-031-12240-8_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166031578&doi=10.1007%2f978-3-031-12240-8_4&partnerID=40&md5=eb9fb10f14d1d9795fa15be373f6d345","This chapter investigates the impact of high-frequency trading (HFT) on market efficiency in the Moroccan Stock Exchange. The endorsement of market efficiency suggests that investors cannot beat the market, while a rejection of market efficiency implies that investors can use HFT to realize higher returns than those of the market. We obtain data at the precision level of milliseconds from the Casablanca Stock Exchange and cover the period from August 1, 2016 (the beginning of high-frequency trading in the Moroccan stock market) to July 31, 2021. The chapter finds from conducting statistical analyses using this data that the market efficiency hypothesis is rejected at very high frequencies: one millisecond, one second, and 30 second. At lower time frequencies such as 1, 2, 5, 10, and 15 minutes, the market efficiency hypothesis is not rejected, which lends evidence that the market is efficient at these frequencies. Based on these results obtained, the main conclusion from this chapter is that investors with a faster market connection (at the millisecond and second level) and an efficient algorithm can use privileged information to realize returns higher than those of the Moroccan Stock Exchange market. Further studies should be completed in other markets to determine if these results are consistent across exchanges. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2022."
"Yadav K.; Yadav M.; Saini S.","Yadav, Konark (57221331731); Yadav, Milind (57217865320); Saini, Sandeep (56426782900)","57221331731; 57217865320; 56426782900","Stock values predictions using deep learning based hybrid models","2022","CAAI Transactions on Intelligence Technology","7","1","","107","116","9","40","10.1049/cit2.12052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108433534&doi=10.1049%2fcit2.12052&partnerID=40&md5=59a39ae95852bf5bd6f0bd951027a4f5","Predicting the correct values of stock prices in fast fluctuating high-frequency financial data is always a challenging task. A deep learning-based model for live predictions of stock values is aimed to be developed here. The authors' have proposed two models for different applications. The first one is based on Fast Recurrent Neural Networks (Fast RNNs). This model is used for stock price predictions for the first time in this work. The second model is a hybrid deep learning model developed by utilising the best features of FastRNNs, Convolutional Neural Networks, and Bi-Directional Long Short Term Memory models to predict abrupt changes in the stock prices of a company. The 1-min time interval stock data of four companies for a period of one and three days is considered. Along with the lower Root Mean Squared Error (RMSE), the proposed models have low computational complexity as well, so that they can also be used for live predictions. The models' performance is measured by the RMSE along with computation time. The model outperforms Auto Regressive Integrated Moving Average, FBProphet, LSTM, and other proposed hybrid models on both RMSE and computation time for live predictions of stock values. © 2021 The Authors. CAAI Transactions on Intelligence Technology published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology and Chongqing University of Technology."
"Courdent A.; McClelland D.","Courdent, Aurélie (57833942800); McClelland, David (56373149700)","57833942800; 56373149700","The impact of algorithmic trading on market quality: Evidence from the Johannesburg Stock Exchange","2022","Investment Analysts Journal","51","3","","157","171","14","1","10.1080/10293523.2022.2090056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135595358&doi=10.1080%2f10293523.2022.2090056&partnerID=40&md5=d610150fe7f906cad5f81fff04d0eb0b","High-frequency trading (HFT) is a trading method that relies on sophisticated algorithms to analyse markets and execute large numbers of orders within milliseconds. In the last two decades, this new technology has gained traction globally and now accounts for the majority of the trading volume on the Johannesburg Stock Exchange (JSE). Despite the dominance of HFT, studies on the topic have been scarce outside of the United States. This study seeks to examine the effects of HFT on market quality in a South African context. First, the study makes use of a set of proxies for algorithmic trading (AT), namely average trade size, odd-lot volume ratio and trade-to-order volume ratio. Second, panel regressions are used to determine the relationship between these proxies and two measures of market quality (market liquidity and short-term volatility). The study found a strong positive relationship between market liquidity and average trade size but an inverse relationship with the other two AT proxies. Finally, the study confirmed a strong positive relationship with short-term volatility. The study concludes that, overall, AT has a positive impact on market quality, despite carrying the risk of causing instability in certain markets. © 2022 Investment Analysts Society of South Africa."
"Chelanga P.; Jensen N.; Muendo K.M.","Chelanga, Philemon (55783271100); Jensen, Nathaniel (57190607931); Muendo, Kavoi Mutuku (57219330628)","55783271100; 57190607931; 57219330628","Pastoral livestock market integration amidst improvements in physical and communication infrastructure: Evidence from northern Kenya","2022","African Journal of Agricultural and Resource Economics","17","4","","330","344","14","0","10.53936/afjare.2022.17(4).22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163057347&doi=10.53936%2fafjare.2022.17%284%29.22&partnerID=40&md5=9d62baf99c95b4943e320f2ba7379936","This article analyses the level of integration in pastoral markets in Kenya using high-frequency data generated through a crowdsourcing endeavour. The vector error-correction model framework was used to estimate the causal relationships between the short- and long-run market price. The results indicate that a higher proportion of price variation in larger markets in the region was due to market price shocks, while variation in the smaller markets originated from the larger markets. Weekly adjustments and the convergence of prices on a long-run equilibrium after experiencing shocks were also observed. Price transmission was also evident between markets operating along different trading routes. However, markets located close to production catchments exhibited lower price trends, despite being connected. These results suggest a strong influence of the recent infrastructural investments on price transmission between markets in the region. The findings imply that more investments would enhance the competitive trading environment and reduce unidirectional price transmission. © (2022). All Rights Reserved."
"Nunkoo H.B.S.; Gonpot P.N.; Sookia N.-U.-H.; Ramanathan T.V.","Nunkoo, Houmera Bibi Sabera (57298657100); Gonpot, Preethee Nunkoo (57192103074); Sookia, Noor-Ul-Hacq (57190047053); Ramanathan, T. V. (57056459200)","57298657100; 57192103074; 57190047053; 57056459200","Autoregressive conditional duration models for high frequency financial data: an empirical study on mid cap exchange traded funds","2022","Studies in Economics and Finance","39","1","","150","173","23","2","10.1108/SEF-04-2021-0146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117164448&doi=10.1108%2fSEF-04-2021-0146&partnerID=40&md5=f2b663bc18dd2148352eaea2315d516e","Purpose: The purpose of this study is to identify appropriate autoregressive conditional duration (ACD) models that can capture the dynamics of tick-by-tick mid-cap exchange traded funds (ETFs) for the period July 2017 to December 2017 and accurately predict future trade duration values. The forecasted durations are then used to demonstrate the practical usefulness of the ACD models in quantifying an intraday time-based risk measure. Design/methodology/approach: Through six functional forms and six error distributions, 36 ACD models are estimated for eight mid-cap ETFs. The Akaike information criterion and Bayesian information criterion and the Ljung-Box test are used to evaluate goodness-of-fit while root mean square error and the Superior predictive ability test are applied to assess forecast accuracy. Findings: The Box-Cox ACD (BACD), augmented Box-Cox ACD (ABACD) and additive and multiplicative ACD (AMACD) extensions are among the best fits. The results obtained prove that higher degrees of flexibility do not necessarily enhance goodness of fit and forecast accuracy does not always depend on model adequacy. BACD and AMACD models based on the generalised-F distribution generate the best forecasts, irrespective of the trading frequencies of the ETFs. Originality/value: To the best of the authors’ knowledge, this is the first study that analyses the empirical performance of ACD models for high-frequency ETF data. Additionally, in comparison to previous works, a wider range of ACD models is considered on a reasonably longer sample period. The paper will be of interest to researchers in the area of market microstructure and to practitioners engaged in high-frequency trading. © 2021, Emerald Publishing Limited."
"Gao P.; Yuan C.","Gao, Peng (58361598100); Yuan, Caojin (25635027900)","58361598100; 25635027900","Resolution enhancement of digital holographic microscopy via synthetic aperture: a review","2022","Light: Advanced Manufacturing","3","1","","105","120","15","70","10.37188/lam.2022.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152885534&doi=10.37188%2flam.2022.006&partnerID=40&md5=64b2e585cd960ee73f8e1845fd4e65cd","Digital holographic microscopy (DHM), which combines digital holography with optical microscopy, is a wide field, minimally invasive quantitative phase microscopy (QPM) approach for measuring the 3D shape or the inner structure of transparent and translucent samples. However, limited by diffraction, the spatial resolution of conventional DHM is relatively low and incompatible with a wide field of view (FOV) owing to the spatial bandwidth product (SBP) limit of the imaging systems. During the past decades, many efforts have been made to enhance the spatial resolution of DHM while preserving a large FOV by trading with unused degrees of freedom. Illumination modulation techniques, such as oblique illumination, structured illumination, and speckle illumination, can enhance the resolution by adding more high-frequency information to the recording system. Resolution enhancement is also achieved by extrapolation of a hologram or by synthesizing a larger hologram by scanning the sample, the camera, or inserting a diffraction grating between the sample and the camera. For on-chip DHM, spatial resolution is achieved using pixel super-resolution techniques. In this paper, we review various resolution enhancement approaches in DHM and discuss the advantages and disadvantages of these approaches. It is our hope that this review will contribute to advancements in DHM and its practical applications in many fields. © The Author(s) 2022."
"Singh J.; Thulasiram R.; Thavaneswaran A.","Singh, Japjeet (58358322200); Thulasiram, Ruppa (6602683636); Thavaneswaran, Aerambamoorthy (6701817323)","58358322200; 6602683636; 6701817323","LSTM based Algorithmic Trading model for Bitcoin","2022","Proceedings of the 2022 IEEE Symposium Series on Computational Intelligence, SSCI 2022","","","","344","351","7","1","10.1109/SSCI51031.2022.10022021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147795599&doi=10.1109%2fSSCI51031.2022.10022021&partnerID=40&md5=7c20fe2aa80236f59252b873a08b586c","Cryptocurrencies have emerged as an alternative financial asset in the last decade, with their market growing exponentially in recent years. The price of cryptocurrencies is highly volatile and is prone to rapid swings within short periods of time. This behaviour makes them a high-risk and high-return financial asset. The efficacy of neural networks in forecasting the high frequency financial time series has become widely accepted in the research community. This work explored the use of Long Short Term Memory (LSTM), a neural network based non-linear sequence model, to propose a novel algorithmic trading strategy for cryptocurrencies. The proposed novel high frequency algorithmic trading strategy built over an LSTM based short-term price forecasting is used for Bitcoin and Ethereum. This simple, yet effective trading algorithm uses the network's price forecasts to make buy and short selling decisions for cryptocurrency based on certain set criteria. The proposed trading strategy gives positive returns when backtested on Bitcoin hourly prices taken from yahoo finance. We also verified the effectiveness of the trading strategy for Ethereum, the second largest cryptocurrency, based on the positive backtesting returns. As an extension to the study, the proposed strategy is applied on an even higher frequency (minute by minute) Bitcoin price data, and the strategy gives positive backtesting returns in this extended study. We also provide fuzzy intervals for the algorithmic return of our strategy and compare those with corresponding intervals on a simple buy and hold strategy. © 2022 IEEE."
"Yang H.; Ryu D.","Yang, Heejin (56967244000); Ryu, Doowon (56022222400)","56967244000; 56022222400","The information content of bond rating changes and insider trading in Korea","2022","Investment Analysts Journal","51","4","","289","300","11","0","10.1080/10293523.2022.2112822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138275168&doi=10.1080%2f10293523.2022.2112822&partnerID=40&md5=7d2e95fd34fec4b9f46967d63a7294de","This study examines differences in insider groups’ trading behaviours based on their characteristics. We use data on high-frequency insider trading and Korean bond rating change announcements. We find that insiders actively exploit their information advantage, and their transaction behaviour differs based on their position (e.g., blockholders, executives, or largest shareholders). In particular, the largest shareholders are usually the most informed traders among insiders. Our results indicate that market participants can use insider trading as an informative signal to make investment decisions. © 2022 Investment Analysts Society of South Africa."
"Zhang X.; Zhang L.; Zhou Q.; Jin X.","Zhang, Xinchen (57324824600); Zhang, Linghao (57687844000); Zhou, Qincheng (57686280200); Jin, Xu (57232012200)","57324824600; 57687844000; 57686280200; 57232012200","A Novel Bitcoin and Gold Prices Prediction Method Using an LSTM-P Neural Network Model","2022","Computational Intelligence and Neuroscience","2022","","1643413","","","","7","10.1155/2022/1643413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130010450&doi=10.1155%2f2022%2f1643413&partnerID=40&md5=307b449c7ed60f391d31256ae3c11934","As a result of the fast growth of financial technology and artificial intelligence around the world, quantitative algorithms are now being employed in many classic futures and stock trading, as well as hot digital currency trades, among other applications today. Using the historical price series of Bitcoin and gold from 9/11/2016 to 9/10/2021, we investigate an LSTM-P neural network model for predicting the values of Bitcoin and gold in this research. We first employ a noise reduction approach based on the wavelet transform to smooth the fluctuations of the price data, which has been shown to increase the accuracy of subsequent predictions. Second, we apply a wavelet transform to diminish the influence of high-frequency noise components on prices. Third, in the price prediction model, we develop an optimized LSTM prediction model (LSPM-P) and train it using historical price data for gold and Bitcoin to make accurate predictions. As a consequence of our model, we have a high degree of accuracy when projecting future pricing. In addition, our LSTM-P model outperforms both the conventional LSTM models and other time series forecasting models in terms of accuracy and precision.  © 2022 Xinchen Zhang et al."
"Kohda S.; Yoshida K.","Kohda, Shigeki (57275261700); Yoshida, Kenichi (57188862445)","57275261700; 57188862445","Characteristics and Forecast of High-frequency Trading","2022","Transactions of the Japanese Society for Artificial Intelligence","37","5","B-M44_1-9","","","","3","10.1527/tjsai.37-5_B-M44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137146778&doi=10.1527%2ftjsai.37-5_B-M44&partnerID=40&md5=428744ff9653646e5bede708cce1c441","High-frequency trading (HFT), which is a type of algorithmic trading, accounts for a significant percentage of trading volume in equity markets. Co-location, which is a low-latency service, enables high-speed transactions. For example, 70% of all orders traded on the Tokyo Stock Exchange use co-location. Because many HFT companies use co-location services, analyzing the characteristics of HFT can assist in understanding the market and identify improved trading strategies. Our study, which uses data from the Tokyo Stock Exchange (ranked as the third largest stock exchange in the world in terms of market capitalization) clarifies the following: 1) Most orders are filled or canceled without changing the price or the quantity. 2) If price rises due to an execution, the sell order significantly increases compared to the buy order, and the price gradually decreases. 3) After a price change, the price before the change returns within 300 s. 4) Based on the above findings, we analyze a simple trading strategy that can realize a profit with 90% reliability. © 2022, Japanese Society for Artificial Intelligence. All rights reserved."
"Zhineng F.; Weijun X.; Weiguo Z.; Yiyang L.","Zhineng, Fu (57893758900); Weijun, Xu (57222190085); Weiguo, Zhang (57286501800); Yiyang, Luo (55960748000)","57893758900; 57222190085; 57286501800; 55960748000","Research on high frequency arbitrage of Chinese stock index futures based on stochastic dominance; [基于随机占优的中国股指期货高频套利研究]","2022","Journal of Industrial Engineering and Engineering Management","36","5","","196","204","8","0","10.13587/j.cnki.jieem.2022.05.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138170507&doi=10.13587%2fj.cnki.jieem.2022.05.016&partnerID=40&md5=6714df02c6b924ce38e5de9107c82e63","The securities secondary market is volatile and is full of investment opportunities. However, the risks of securities market investment are also ubiquitous, and both individual stock investment and index investment face great risk exposures. Arbitrage investment is popular as an investment method with low risk and stable profits. Stocks are not allowed to be shorted in the Chinese stock market under the T+1 system. Arbitrage trading for individual stocks is difficult to carry out due to insufficient liquidity, suspension. Therefore, many arbitrage traders focus on the stock index futures market, where T+0 trading and short selling are allowed, and the liquidity is strong. As a type of low-risk investment strategy, arbitrage trading is suitable for multiple transactions to form the cumulative effect on profits. Therefore, high-frequency arbitrage is born and applied by many investors. As a good algorithm for asset comparison, stochastic dominance is widely used in the comparative analysis of the investment value of multiple assets. The ascending dominance and the descending dominance are to model the investment behaviors of risk averters and risk seekers, respectively. The first-order stochastic dominance means arbitrage opportunities, and the second-order and third-order stochastic dominance represent the investors′ utility difference and their preference over assets. Many investors conduct first-order dominance analysis based on historical data to study the market efficiency or arbitrage opportunities that have occurred. To make the model better suited to the distribution characteristics of high-frequency data, this paper improves the existing stochastic dominance testing method and proposes an interpolated grid asymmetric DD test method. The interpolated grid asymmetric DD test method conforms to the distribution characteristics of high-frequency data, and its grids do not overlap with the samples, which makes it has advantages over the asymmetric DD test method and the DD test method. Based on a new perspective, this paper predicts future arbitrage opportunities and arbitrage directions based on the momentum strategy for investor utility and preference. The specific approach is conducting the second-order and third-order stochastic dominance analysis on historical high-frequency data, and predicting the future arbitrage opportunities and arbitrage directions between the two assets based on the dominance results and the historical return rates. On this basis, we design a high-frequency arbitrage strategy among the three stock index futures in China, and the strategy makes trading decisions based on the predicted arbitrage directions among the three stock index futures. This paper conducts an empirical analysis based on the one-minute data of the main continuous contracts of China′s three major stock index futures from April 16, 2015 to September 25, 2020, with 324990 minutes in total. We evaluate the investment performance of each arbitrage strategy based on eight evaluation indicators, namely annualized return rate, Karma ratio, Sharpe ratio, average daily win rate, average win rate each time, profit-loss ratio, maximum drawdown rate and maximum drawdown period rate. This paper studies the second-order ascending, second-order descending, third-order ascending, and third-order descending dominance separately. So there are 4 experimental groups. We take the DD test method, asymmetric DD test method and spread regression model as baseline models. Besides, the relationship between the return rate of each model and the average price change rate per minute is also studied in this paper. From the empirical results, we find that the average annualized return rates of the interpolated grid asymmetric DD test method, asymmetric DD test method, DD test method and spread regression strategy are 24. 19%, 23. 62%, 17. 07% and 15. 98% respectively. Besides, their average annual return rates of the second-order dominance strategies are higher than that of the third-order dominance strategies by 5. 64%, 3. 09% and 3. 20%, respectively. Their average annualized return rates of the ascending dominance strategies are 1. 49%, 0. 02% and 1. 43% higher than that of the descending dominance strategies, respectively. The empirical results show that the arbitrage strategies for stock index futures based on the stochastic dominance tests have achieved excellent and stable investment performance, which proves that our proposed arbitrage forecasting model and the arbitrage strategy of stock index futures based on the stochastic dominance test are effective. We can also find from the empirical results that the investment performance of the interpolated grid asymmetric DD test method is better than that of all other baseline models, which also verifies the improvement of our proposed interpolated grid asymmetric DD test method over existing researches. The empirical results show that the investment performance of the second-order dominance model is better than that of the third-order dominance model, and the investment performance of the ascending dominance is better than that of the descending dominance. The empirical results also reveal three market laws as follows. First, the investment performances of the second-order dominance models are better than that of the third-order dominance models, which shows that the second-order dominance reflects investors′ preferences for different stock index futures better than the third-order dominance. Second, the investment performance of the ascending dominance models is better than that of the descending dominance models, which shows that risk averters get more profits in arbitrage trading than risk seekers. Third, the profits of all arbitrage strategies are roughly positively correlated with the average price change rate of stock index futures per minute. The main innovations of this paper are as follows. Firstly, this paper improves the existing stochastic dominance test method according to the characteristics of high-frequency financial data and proposes the interpolated grid asymmetric DD test method. Secondly, we propose a forecasting model of arbitrage direction for stock index futures based on stochastic dominance tests and forms an equal-weight hedging high-frequency arbitrage strategy. The academic value of this paper is as follows. First, this paper enriches the high-frequency arbitrage strategies of stock index futures, by finding arbitrage opportunities and construct arbitrage portfolios from the stochastic dominance relationship between two stock index futures. Second, our research is an extension and improvement of the stochastic dominance DD test method, making it better comply with the distribution characteristics of financial data © 2022, Journal of Industrial Engineering and Engineering Management. All Rights Reserved."
"Baldauf M.; Mollner J.","Baldauf, Markus (57211117805); Mollner, Joshua (57198768753)","57211117805; 57198768753","Fast traders make a quick buck: The role of speed in liquidity provision","2022","Journal of Financial Markets","58","","100621","","","","3","10.1016/j.finmar.2021.100621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102286693&doi=10.1016%2fj.finmar.2021.100621&partnerID=40&md5=9c75dd74ea7bfd4d797fc9c69796c759","In modern public equity markets, liquidity is provided by a heterogeneous set of traders with vastly different speeds. We study the consequences of information arrival in such a setting. We present a model that predicts faster traders achieve a relative increase in profits obtained from liquidity provision following information events through (i) avoiding adverse selection by canceling mispriced quotes, and (ii) winning the race to post updated quotes. We also find strong support for these model predictions using data from the Toronto Stock Exchange. The identification strategy is based on an unanticipated “fake news” event in which the Twitter feed of the Associated Press falsely reported a terrorist attack. © 2021 Elsevier B.V."
"Hossain S.","Hossain, Shahadat (57220634941)","57220634941","High-Frequency Trading (HFT) and Market Quality Research: An Evaluation of the Alternative HFT Proxies","2022","Journal of Risk and Financial Management","15","2","54","","","","5","10.3390/jrfm15020054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130455025&doi=10.3390%2fjrfm15020054&partnerID=40&md5=d7956dbc542b1bdbb6948bcab01cc5f2","We examine the soundness of high-frequency trading (HFT) proxies that are widely defined on the limit order book (LOB) information. We use a unique TRTH (Thomson Reuters Tick History) millisecond time-stamped intraday trades and quotes dataset enriched with 10 levels of LOB depth messages for 149 highly fragmented LSE listed stocks for the period 2005 to 2016. We explore a sharp uptrend in HFT activities and accompanying improvement in market liquidity in the European market. We show that alternative HFT proxies built on LOB are not equally powerful. The HFT proxy defined on the five best LOB prices (the mid point of a typical limit order book) provides a better HFT identification than the one popularly defined on the first best prices (BBO). We suggest that picking the LOB information beyond a certain level (e.g., the best five prices) of market depth in developing HFT proxy is counterintuitive. Evidence indicates that high-frequency traders (HFTs) participate in both competitive (narrow) and passive (wider) quoting as a market making strategy; however, they do not participate in passive quoting excessively. © 2022 by the author. Licensee MDPI, Basel, Switzerland."
